period,stateid,price
2015,GA,9.62
2015,HI,26.17
2015,IA,8.35
2015,ID,8.09
2015,IL,9.4
2015,IN,8.99
2015,KS,10.14
2015,KY,8.14
2015,LA,7.65
2015,MA,16.9
2015,MAT,13.0
2015,MD,12.07
2015,ME,12.78
2015,MI,10.76
2015,MN,9.53
2015,MO,9.44
2015,MS,9.53
2015,MT,8.9
2015,MTN,9.48
2015,NC,9.37
2015,ND,8.75
2015,NE,8.91
2015,NEW,16.52
2015,NH,16.02
2015,NJ,13.74
2015,NM,9.62
2015,NV,9.48
2015,NY,15.28
2015,OH,9.98
2015,OK,7.9
2015,OR,8.75
2015,PA,10.31
2015,PACC,12.82
2015,PACN,22.8
2015,RI,17.01
2015,SAT,9.97
2015,SC,9.58
2015,SD,9.47
2015,TN,9.3
2015,TX,8.7
2015,US,10.41
2015,UT,8.54
2015,VA,9.31
2015,VT,14.41
2015,WA,7.4
2015,WI,10.73
2015,WNC,9.29
2015,WSC,8.41
2015,WV,8.11
2015,WY,7.97
2016,AK,17.93
2016,AL,9.56
2016,AR,8.13
2016,AZ,10.33
2016,CA,15.23
2016,CO,9.83
2016,CT,17.24
2016,DC,11.73
2016,DE,11.09
2016,ENC,9.94
2016,ESC,9.04
2016,FL,9.91
2016,GA,9.59
2016,HI,23.87
2016,IA,8.55
2016,ID,8.08
2016,IL,9.38
2016,IN,9.22
2016,KS,10.49
2016,KY,8.42
2016,LA,7.46
2016,MA,16.48
2016,MAT,12.56
2016,MD,12.21
2016,ME,12.8
2016,MI,11.05
2016,MN,9.99
2016,MO,9.74
2016,MS,8.67
2016,MT,8.84
2016,MTN,9.31
2016,NC,9.2
2016,ND,8.94
2016,NE,9.05
2016,NEW,16.13
2016,NH,15.66
2016,NJ,13.38
2016,NM,9.12
2016,NV,8.38
2016,NY,14.47
2016,OH,9.84
2016,OK,7.83
2016,OR,8.83
2016,PA,10.19
2016,PACC,12.75
2016,PACN,21.53
2016,RI,16.28
2016,SAT,9.79
2016,SC,9.79
2016,SD,9.83
2016,TN,9.23
2016,TX,8.43
2016,US,10.27
2016,UT,8.72
2016,VA,9.09
2016,VT,14.46
2016,WA,7.68
2016,WI,10.67
2016,WNC,9.59
2016,WSC,8.19
2016,WV,8.98
2016,WY,8.19
2017,AK,19.1
2017,AL,9.83
2017,AR,8.26
2017,AZ,10.64
2017,CA,16.06
2017,CO,9.99
2017,CT,17.55
2017,DC,11.8
2017,DE,10.9
2017,ENC,10.12
2017,ESC,9.29
2017,FL,10.42
2017,GA,9.83
2017,HI,26.05
