year,state,price,sales,avg_temp,disaster_count
2006,PA,8.68,146150.358,50.75833333333333,1.0
2006,RI,13.98,7799.126,51.84166666666668,0.0
2006,SC,6.98,80877.321,63.61666666666667,0.0
2006,SD,6.7,10056.387,48.14166666666667,2.0
2006,TN,6.97,103931.744,58.89166666666666,1.0
2006,TX,10.34,342724.213,67.11666666666666,2.0
2006,UT,5.99,26365.716,49.16666666666666,0.0
2006,VA,6.86,106721.241,56.57500000000001,2.0
2006,VT,11.37,5795.029,45.05833333333333,0.0
2006,WA,6.14,85033.335,47.50833333333333,2.0
2006,WI,8.13,69820.749,45.99166666666667,0.0
2006,WV,5.04,32312.126,53.03333333333333,0.0
2006,WY,5.27,14946.612,43.16666666666668,1.0
2007,AK,13.28,6326.61,66.12500000000001,2.0
2007,AL,7.57,91828.464,64.4,1.0
2007,AR,6.96,47054.891,61.80833333333334,0.0
2007,AZ,8.54,77193.206,61.58333333333332,0.0
2007,CA,12.8,264234.911,58.925,1.0
2007,CO,7.76,51299.156,46.175,1.0
2007,CT,16.45,34129.107,49.53333333333333,1.0
2007,DE,11.35,11868.81,56.29166666666668,0.0
2007,FL,10.33,231084.6,71.75,2.0
2007,GA,7.86,137453.878,64.8,2.0
2007,HI,21.29,10585.299,28.08333333333333,1.0
2007,IA,6.83,45269.523,48.89166666666667,1.0
2007,ID,5.07,23755.186,44.775,1.0
2007,IL,8.46,146055.151,53.67500000000001,1.0
2007,IN,6.5,109420.15,53.28333333333333,1.0
2007,KS,6.84,40165.977,55.075,1.0
2007,KY,5.84,92404.1,57.71666666666666,1.0
2007,LA,8.39,79566.937,67.38333333333334,1.0
2007,MA,15.16,57138.822,48.29166666666668,1.0
2007,MD,11.5,65390.66,55.69166666666666,0.0
2007,ME,14.59,11860.202,40.71666666666667,2.0
2007,MI,8.53,109296.749,46.09166666666667,0.0
2007,MN,7.44,68231.182,42.4,1.0
2007,MO,6.56,85532.85,56.18333333333334,1.0
2007,MS,8.03,48153.181,64.95,0.0
2007,MT,7.13,15531.985,44.025000000000006,1.0
2007,NC,7.83,131880.754,60.475,0.0
2007,ND,6.42,11905.695,41.766666666666666,1.0
2007,NE,6.28,28248.4,49.958333333333336,1.0
2007,NH,13.98,11235.856,43.1,1.0
2007,NJ,13.01,81934.334,53.58333333333334,2.0
2007,NM,7.44,22267.394,54.21666666666667,2.0
2007,NV,9.99,35643.402,51.525,1.0
2007,NY,15.22,148177.523,45.65833333333333,1.0
2007,OH,7.91,161770.827,52.26666666666666,1.0
2007,OK,7.29,55193.2,60.05,1.0
2007,OR,7.02,48696.965,47.78333333333334,2.0
2007,PA,9.08,151572.95,49.49999999999999,1.0
2007,RI,13.12,8013.022,50.28333333333333,1.0
2007,SC,7.18,81948.158,64.3,0.0
2007,SD,6.89,10603.301,46.8,2.0
2007,TN,7.07,106716.934,59.94166666666667,0.0
2007,TX,10.11,343828.582,64.84166666666667,3.0
2007,UT,6.41,27785.447,49.89166666666667,1.0
2007,VA,7.12,111569.552,56.80000000000001,0.0
2007,VT,12.04,5864.006,42.175,1.0
2007,WA,6.37,85741.947,46.79166666666666,2.0
2007,WI,8.48,71301.3,44.74166666666667,1.0
2007,WV,5.34,34183.839,53.29166666666666,1.0
2007,WY,5.29,15535.552,43.29166666666666,1.0
2008,AK,14.74,6325.94399,65.64999999999999,1.0
2008,AL,8.59,89707.27901,62.91666666666668,2.0
2008,AR,7.6,46134.68101,59.85833333333333,2.0
2008,AZ,9.11,76267.91602,60.61666666666665,1.0
2008,CA,12.49,268155.21898,58.91666666666666,1.0
2008,CO,8.59,52142.47301,44.94166666666666,2.0
2008,CT,17.8,30956.544,49.70000000000001,0.0
2008,DE,12.38,11748.783,56.30833333333334,0.0
2008,FL,10.74,226172.795,70.825,3.0
2008,GA,8.84,135173.514,63.51666666666667,1.0
2008,HI,29.2,10390.279,25.075000000000003,2.0
2008,IA,6.89,45488.06998,45.91666666666666,1.0
2008,ID,5.69,23901.49001,42.525000000000006,1.0
2008,IL,9.23,144619.914,50.91666666666666,1.0
2008,IN,7.09,106980.704,51.04166666666668,1.0
2008,KS,7.45,39965.06107,53.575,1.0
2008,KY,6.26,93428.41398,55.350000000000016,1.0
2008,LA,9.44,78725.77399,66.64166666666667,1.0
2008,MA,16.23,55884.10499,48.60833333333333,0.0
2008,MD,13.01,63325.77699,55.31666666666666,0.0
2008,ME,13.8,11673.673,41.60833333333333,2.0
2008,MI,8.93,105781.27101,44.03333333333333,1.0
2008,MN,7.79,68794.13798,39.41666666666666,1.0
2008,MO,6.84,84381.67599,53.43333333333334,1.0
2008,MS,8.99,47721.23501,63.325,2.0
2008,MT,7.72,15326.39999,41.38333333333333,1.0
2008,NC,7.96,130069.25701,59.325,1.0
2008,ND,6.69,12416.07401,39.33333333333333,0.0
2008,NE,6.58,28821.02103,47.69166666666666,1.0
2008,NH,14.63,10977.289,43.85,1.0
2008,NJ,14.43,80519.543,53.62500000000001,0.0
2008,NM,8.35,22038.108,53.64166666666667,2.0
2008,NV,9.89,35192.496,50.41666666666666,1.0
2008,NY,16.47,144052.936,45.775,0.0
2008,OH,8.39,159388.80701,50.63333333333333,0.0
2008,OK,7.81,56278.86606,59.55000000000001,3.0
2008,OR,7.24,49187.47698,46.8,2.0
