period,stateid,sales
2012,SD,11734.20999
2012,TN,96381.47197
2012,TX,365104.13099
2012,US,3694649.78562
2012,UT,29723.368
2012,VA,107794.98501
2012,VT,5510.764
2012,WA,92336.44097
2012,WI,68820.08991
2012,WNC,293705.57479
2012,WSC,556035.06499
2012,WV,30817.24099
2012,WY,16971.35399
2013,AK,6268.212
2013,AL,87852.10702
2013,AR,46683.034
2013,AZ,75662.03702
2013,CA,261332.45899
2013,CO,53441.64901
2013,CT,29824.516
2013,DC,11085.519
2013,DE,11347.856
2013,ENC,569761.64298
2013,ESC,318341.95201
2013,FL,221919.51398
2013,GA,130497.47001
2013,HI,9503.164
2013,IA,46705.21594
2013,ID,24208.056
2013,IL,141804.88801
2013,IN,105487.38895
2013,KS,39847.39707
2013,KY,84763.84199
2013,LA,85807.932
2013,MA,55265.07402
2013,MAT,368791.28898
2013,MD,61899.478
2013,ME,11855.047
2013,MI,103038.30501
2013,MN,68644.10298
2013,MO,83406.95701
2013,MS,48781.99
2013,MT,14045.17398
2013,MTN,273160.70505
2013,NC,129779.90503
2013,ND,16032.96699
2013,NE,30700.605
2013,NEW,121356.74701
2013,NH,11043.27599
2013,NJ,74642.399
2013,NM,23065.026
2013,NV,35211.21501
2013,NY,147895.127
2013,OH,150307.01803
2013,OK,59929.17199
2013,OR,47640.97802
2013,PA,146253.76298
2013,PACC,401856.15998
2013,PACN,15771.376
2013,RI,7781.122
2013,SAT,787043.51302
2013,SC,78602.094
2013,SD,12209.79897
2013,TN,96944.013
2013,TX,378817.25403
2013,US,3724867.82101
2013,UT,30474.03402
2013,VA,110511.82701
2013,VT,5587.712
2013,WA,92882.72298
2013,WI,69124.04299
2013,WNC,297547.04397
2013,WSC,571237.39202
2013,WV,31399.85
2013,WY,17053.514
2014,AK,6164.812
2014,AL,90493.72702
2014,AR,47080.30101
2014,AZ,76297.68499
2014,CA,262584.78602
2014,CO,53396.52101
2014,CT,29354.46
2014,DC,11193.589
2014,DE,11338.47699
2014,ENC,571971.35707
2014,ESC,318960.51197
2014,FL,226078.111
2014,GA,135789.932
2014,HI,9475.452
2014,IA,47201.85298
2014,ID,23233.28401
2014,IL,141540.28703
2014,IN,106942.50403
2014,KS,40561.606
2014,KY,78838.92398
2014,LA,90628.31601
2014,MA,54469.292
2014,MAT,367925.689
2014,MD,61683.86901
2014,ME,12002.66101
2014,MI,103314.09801
2014,MN,68719.36702
2014,MO,83878.39692
2014,MS,49408.63098
2014,MT,14102.39199
2014,MTN,272397.80404
2014,NC,133132.77596
2014,ND,18239.73201
2014,NE,30222.16801
2014,NEW,119983.45899
2014,NH,10944.081
2014,NJ,73866.07801
2014,NM,23115.222
2014,NV,35075.60601
2014,NY,147371.91299
2014,OH,150679.71301
2014,OK,61573.37402
2014,OR,47334.95301
2014,PA,146687.698
2014,PACC,402060.51602
2014,PACN,15640.264
2014,RI,7643.104
2014,SAT,805631.00593
2014,SC,81619.765
2014,SD,12354.726
2014,TN,100219.23
2014,TX,389669.82
2014,US,3764700.267
2014,UT,30043.01902
2014,VA,112098.38099
2014,VT,5569.86099
2014,WA,92140.77699
2014,WI,69494.75499
2014,WNC,301177.84894
2014,WSC,588951.81104
2014,WV,32696.106
2014,WY,17134.07502
2015,AK,6159.204
2015,AL,88845.543
2015,AR,46465.15402
2015,AZ,77349.41596
2015,CA,261170.43699
2015,CO,54116.04599
2015,CT,29476.15501
2015,DC,11291.23301
2015,DE,11498.205
2015,ENC,563526.56484
2015,ESC,313207.80997
2015,FL,235599.39798
2015,GA,135878.215
2015,HI,9511.352
2015,IA,47147.29285
2015,ID,23058.81399
2015,IL,138619.97
2015,IN,104514.51798
2015,KS,39849.127
2015,KY,76038.62998
2015,LA,91676.48901
2015,MA,54621.08801
2015,MAT,370747.30605
2015,MD,61781.71901
2015,ME,11888.168
2015,MI,102479.92097
2015,MN,66579.23387
2015,MO,81504.081
2015,MS,48691.52902
2015,MT,14206.911
2015,MTN,274961.54193
2015,NC,133847.52299
2015,ND,18128.94799
2015,NE,29495.07292
