state,fyDeclared,incidentType
NJ,2010,Severe Storm
MA,2010,Severe Storm
WV,2010,Severe Storm
DC,2010,Severe Storm
CA,2010,Severe Storm
AR,2010,Severe Storm
AL,2010,Hurricane
AK,2010,Severe Storm
LA,2010,Severe Storm
VA,2010,Severe Storm
KS,2009,Severe Storm
TN,2009,Severe Storm
IA,2009,Severe Storm
NE,2009,Severe Storm
IL,2009,Severe Storm
MO,2009,Severe Storm
AR,2009,Severe Storm
SD,2009,Severe Storm
AK,2009,Flood
AL,2009,Severe Storm
WV,2009,Severe Storm
MS,2009,Severe Storm
AR,2009,Tornado
GA,2009,Severe Storm
IN,2009,Severe Storm
ND,2009,Severe Storm
WA,2009,Severe Storm
OR,2009,Severe Storm
OK,2009,Severe Storm
WA,2009,Flood
HI,2009,Flood
VI,2009,Hurricane
FL,2009,Hurricane
OH,2009,Severe Storm
NC,2009,Severe Storm
PR,2009,Severe Storm
AL,2008,Severe Storm
AK,2008,Severe Storm
IN,2008,Severe Storm
AR,2008,Hurricane
VT,2008,Severe Storm
ME,2008,Severe Storm
NH,2008,Severe Storm
NM,2008,Severe Storm
ID,2008,Flood
NE,2008,Severe Storm
MI,2008,Severe Storm
OK,2008,Severe Storm
SD,2008,Severe Storm
MO,2008,Severe Storm
MN,2008,Severe Storm
IL,2008,Severe Storm
WV,2008,Severe Storm
WI,2008,Severe Storm
MT,2008,Severe Storm
MS,2008,Severe Storm
IA,2008,Severe Storm
CO,2008,Severe Storm
GA,2008,Severe Storm
AR,2008,Severe Storm
KY,2008,Severe Storm
ME,2008,Flood
OK,2008,Flood
AK,2013,Flood
TN,2008,Severe Storm
HI,2008,Severe Storm
NV,2008,Severe Storm
TX,2008,Severe Storm
IL,2007,Severe Storm
MO,2007,Severe Storm
ND,2007,Severe Storm
NY,2007,Severe Storm
OK,2007,Severe Storm
NE,2007,Severe Storm
OH,2007,Severe Storm
WI,2007,Severe Storm
MN,2007,Severe Storm
ME,2007,Severe Storm
VT,2007,Severe Storm
TX,2007,Severe Storm
RI,2007,Severe Storm
KY,2007,Severe Storm
SD,2007,Severe Storm
MA,2007,Severe Storm
CT,2007,Severe Storm
WV,2007,Severe Storm
NH,2007,Severe Storm
NJ,2007,Severe Storm
ME,2007,Flood
NM,2007,Severe Storm
AL,2007,Severe Storm
GA,2007,Severe Storm
LA,2007,Severe Storm
PA,2007,Severe Storm
OR,2007,Severe Storm
FL,2007,Severe Storm
AK,2007,Severe Storm
IN,2007,Severe Storm
VA,2006,Severe Storm
AZ,2006,Severe Storm
NM,2006,Severe Storm
TX,2006,Severe Storm
AK,2006,Flood
OH,2006,Severe Storm
DE,2006,Severe Storm
NJ,2006,Severe Storm
MD,2006,Severe Storm
NY,2006,Severe Storm
PA,2006,Severe Storm
MN,2006,Flood
SD,2006,Severe Storm
CA,2006,Severe Storm
ND,2006,Severe Storm
ME,2006,Severe Storm
NH,2006,Severe Storm
WA,2006,Severe Storm
HI,2006,Severe Storm
KS,2006,Severe Storm
OK,2006,Severe Storm
AR,2006,Severe Storm
TN,2006,Severe Storm
IL,2006,Severe Storm
OR,2006,Severe Storm
ID,2006,Severe Storm
NV,2006,Severe Storm
NE,2006,Severe Storm
MN,2006,Severe Storm
CT,2006,Severe Storm
AK,2006,Severe Storm
KY,2006,Severe Storm
PR,2006,Severe Storm
IN,2006,Tornado
NC,2006,Hurricane
LA,2005,Severe Storm
KS,2005,Severe Storm
WY,2005,Tornado
UT,2005,Flood
ND,2005,Severe Storm
SD,2005,Severe Storm
ID,2005,Flood
ME,2005,Severe Storm
NE,2005,Severe Storm
NY,2005,Severe Storm
NJ,2005,Severe Storm
PA,2005,Severe Storm
AZ,2005,Severe Storm
CA,2005,Severe Storm
AK,2005,Severe Storm
NV,2005,Severe Storm
OH,2005,Severe Storm
UT,2005,Severe Storm
HI,2005,Severe Storm
WV,2005,Severe Storm
IN,2005,Severe Storm
DE,2005,Severe Storm
VA,2005,Severe Storm
MN,2005,Severe Storm
TN,2005,Severe Storm
VI,2005,Hurricane
KS,2004,Severe Storm
GA,2004,Hurricane
VT,2004,Severe Storm
WV,2004,Severe Storm
PA,2004,Hurricane
OH,2004,Severe Storm
PR,2004,Severe Storm
MS,2004,Hurricane
LA,2004,Hurricane
SC,2004,Severe Storm
VA,2004,Severe Storm
SC,2004,Hurricane
IN,2004,Severe Storm
GA,2017,Severe Storm
PA,2004,Severe Storm
KY,2004,Severe Storm
NY,2004,Severe Storm
GU,2004,Severe Storm
SD,2004,Severe Storm
NJ,2004,Severe Storm
AR,2004,Severe Storm
