state,declarationDate,incidentType,incidentEndDate,fyDeclared,region
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
WY,2020-09-05T00:00:00.000Z,Fire,2020-09-06T00:00:00.000Z,2020,8
MT,2020-09-05T00:00:00.000Z,Fire,2020-09-14T00:00:00.000Z,2020,8
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
WA,2020-09-01T00:00:00.000Z,Fire,2020-09-14T00:00:00.000Z,2020,10
OR,2020-08-28T00:00:00.000Z,Fire,2020-09-10T00:00:00.000Z,2020,10
AZ,2020-08-26T00:00:00.000Z,Fire,,2020,9
AZ,2020-08-26T00:00:00.000Z,Fire,,2020,9
WA,2020-08-20T00:00:00.000Z,Fire,2020-09-03T00:00:00.000Z,2020,10
CO,2020-08-19T00:00:00.000Z,Fire,2020-09-02T00:00:00.000Z,2020,8
CO,2020-08-19T00:00:00.000Z,Fire,2020-09-02T00:00:00.000Z,2020,8
CO,2020-08-19T00:00:00.000Z,Fire,2020-08-26T00:00:00.000Z,2020,8
CO,2020-08-19T00:00:00.000Z,Fire,2020-08-26T00:00:00.000Z,2020,8
CA,2020-08-18T00:00:00.000Z,Fire,2020-08-27T00:00:00.000Z,2020,9
WA,2020-08-17T00:00:00.000Z,Fire,2020-08-17T00:00:00.000Z,2020,10
WA,2020-08-17T00:00:00.000Z,Fire,2020-08-17T00:00:00.000Z,2020,10
NV,2020-08-15T00:00:00.000Z,Fire,2020-08-26T00:00:00.000Z,2020,9
OR,2020-08-13T00:00:00.000Z,Fire,2020-08-19T00:00:00.000Z,2020,10
NV,2020-08-03T00:00:00.000Z,Fire,2020-08-06T00:00:00.000Z,2020,9
CA,2020-08-02T00:00:00.000Z,Fire,2020-08-11T00:00:00.000Z,2020,9
CA,2020-08-02T00:00:00.000Z,Fire,2020-08-11T00:00:00.000Z,2020,9
CA,2020-08-02T00:00:00.000Z,Fire,2020-08-11T00:00:00.000Z,2020,9
MT,2020-08-02T00:00:00.000Z,Fire,2020-08-04T00:00:00.000Z,2020,8
MT,2020-08-02T00:00:00.000Z,Fire,2020-08-04T00:00:00.000Z,2020,8
WA,2020-07-28T00:00:00.000Z,Fire,2020-08-01T00:00:00.000Z,2020,10
NV,2020-07-21T00:00:00.000Z,Fire,2020-07-23T00:00:00.000Z,2020,9
WA,2020-07-12T00:00:00.000Z,Fire,2020-07-15T00:00:00.000Z,2020,10
NV,2020-07-07T00:00:00.000Z,Fire,2020-07-11T00:00:00.000Z,2020,9
UT,2020-06-28T00:00:00.000Z,Fire,2020-07-05T00:00:00.000Z,2020,8
NV,2020-06-27T00:00:00.000Z,Fire,2020-07-04T00:00:00.000Z,2020,9
AZ,2020-06-20T00:00:00.000Z,Fire,,2020,9
AZ,2020-06-20T00:00:00.000Z,Fire,,2020,9
AZ,2020-05-18T00:00:00.000Z,Fire,,2020,9
FL,2020-05-13T00:00:00.000Z,Fire,2020-06-02T00:00:00.000Z,2020,4
FL,2020-05-07T00:00:00.000Z,Fire,2020-06-02T00:00:00.000Z,2020,4
FL,2020-05-06T00:00:00.000Z,Fire,2020-06-05T00:00:00.000Z,2020,4
OK,2020-03-07T00:00:00.000Z,Fire,2020-03-11T00:00:00.000Z,2020,6
OK,2019-11-26T00:00:00.000Z,Fire,2019-11-28T00:00:00.000Z,2020,6
CA,2019-11-26T00:00:00.000Z,Fire,2019-11-28T00:00:00.000Z,2020,9
CA,2019-11-01T00:00:00.000Z,Fire,2019-11-05T00:00:00.000Z,2020,9
CA,2019-10-31T00:00:00.000Z,Fire,2019-11-02T00:00:00.000Z,2020,9
CA,2019-10-31T00:00:00.000Z,Fire,2019-11-02T00:00:00.000Z,2020,9
CA,2019-10-30T00:00:00.000Z,Fire,2019-11-01T00:00:00.000Z,2020,9
CA,2019-10-30T00:00:00.000Z,Fire,2019-11-02T00:00:00.000Z,2020,9
CA,2019-10-28T00:00:00.000Z,Fire,2019-11-02T00:00:00.000Z,2020,9
CA,2019-10-24T00:00:00.000Z,Fire,2019-10-29T00:00:00.000Z,2020,9
CA,2019-10-24T00:00:00.000Z,Fire,2019-11-07T00:00:00.000Z,2020,9
CA,2019-10-11T00:00:00.000Z,Fire,2019-10-22T00:00:00.000Z,2020,9
CA,2019-10-11T00:00:00.000Z,Fire,2019-10-22T00:00:00.000Z,2020,9
