period,stateid,stateDescription,sectorid,sectorName,sales,sales-units
2005,WSC,West South Central,ALL,all sectors,511519.457,million kilowatt hours
2005,WV,West Virginia,ALL,all sectors,30152.069,million kilowatt hours
2005,WY,Wyoming,ALL,all sectors,14137.727,million kilowatt hours
2006,AK,Alaska,ALL,all sectors,6182.291,million kilowatt hours
2006,AL,Alabama,ALL,all sectors,90677.695,million kilowatt hours
2006,AR,Arkansas,ALL,all sectors,46635.624,million kilowatt hours
2006,AZ,Arizona,ALL,all sectors,73252.776,million kilowatt hours
2006,CA,California,ALL,all sectors,262958.528,million kilowatt hours
2006,CO,Colorado,ALL,all sectors,49733.698,million kilowatt hours
2006,CT,Connecticut,ALL,all sectors,31677.453,million kilowatt hours
2006,DC,District of Columbia,ALL,all sectors,11396.424,million kilowatt hours
2006,DE,Delaware,ALL,all sectors,11554.672,million kilowatt hours
2006,ENC,East North Central,ALL,all sectors,579379.585,million kilowatt hours
2006,ESC,East South Central,ALL,all sectors,330289.311,million kilowatt hours
2006,FL,Florida,ALL,all sectors,228219.544,million kilowatt hours
2006,GA,Georgia,ALL,all sectors,134834.168,million kilowatt hours
2006,HI,Hawaii,ALL,all sectors,10567.912,million kilowatt hours
2006,IA,Iowa,ALL,all sectors,43336.835,million kilowatt hours
2006,ID,Idaho,ALL,all sectors,22761.749,million kilowatt hours
2006,IL,Illinois,ALL,all sectors,142447.811,million kilowatt hours
2006,IN,Indiana,ALL,all sectors,105664.484,million kilowatt hours
2006,KS,Kansas,ALL,all sectors,39751.302,million kilowatt hours
2006,KY,Kentucky,ALL,all sectors,88743.435,million kilowatt hours
2006,LA,Louisiana,ALL,all sectors,77467.748,million kilowatt hours
2006,MA,Massachusetts,ALL,all sectors,55850.09,million kilowatt hours
2006,MAT,Middle Atlantic,ALL,all sectors,368069.324,million kilowatt hours
2006,MD,Maryland,ALL,all sectors,63173.143,million kilowatt hours
2006,ME,Maine,ALL,all sectors,12284.768,million kilowatt hours
2006,MI,Michigan,ALL,all sectors,108017.697,million kilowatt hours
2006,MN,Minnesota,ALL,all sectors,66769.931,million kilowatt hours
2006,MO,Missouri,ALL,all sectors,82015.23,million kilowatt hours
2006,MS,Mississippi,ALL,all sectors,46936.437,million kilowatt hours
2006,MT,Montana,ALL,all sectors,13814.98,million kilowatt hours
2006,MTN,Mountain,ALL,all sectors,256896.748,million kilowatt hours
2006,NC,North Carolina,ALL,all sectors,126698.979,million kilowatt hours
2006,ND,North Dakota,ALL,all sectors,11245.238,million kilowatt hours
2006,NE,Nebraska,ALL,all sectors,27276.292,million kilowatt hours
2006,NEW,New England,ALL,all sectors,124500.809,million kilowatt hours
2006,NH,New Hampshire,ALL,all sectors,11094.343,million kilowatt hours
2006,NJ,New Jersey,ALL,all sectors,79680.947,million kilowatt hours
2006,NM,New Mexico,ALL,all sectors,21434.957,million kilowatt hours
2006,NV,Nevada,ALL,all sectors,34586.26,million kilowatt hours
2006,NY,New York,ALL,all sectors,142238.019,million kilowatt hours
2006,OH,Ohio,ALL,all sectors,153428.844,million kilowatt hours
2006,OK,Oklahoma,ALL,all sectors,54905.314,million kilowatt hours
2006,OR,Oregon,ALL,all sectors,48069.265,million kilowatt hours
2006,PA,Pennsylvania,ALL,all sectors,146150.358,million kilowatt hours
2006,PACC,Pacific Contiguous,ALL,all sectors,396061.128,million kilowatt hours
2006,PACN,Pacific Noncontiguous,ALL,all sectors,16750.203,million kilowatt hours
2006,RI,Rhode Island,ALL,all sectors,7799.126,million kilowatt hours
2006,SAT,South Atlantic,ALL,all sectors,795787.618,million kilowatt hours
2006,SC,South Carolina,ALL,all sectors,80877.321,million kilowatt hours
2006,SD,South Dakota,ALL,all sectors,10056.387,million kilowatt hours
2006,TN,Tennessee,ALL,all sectors,103931.744,million kilowatt hours
2006,TX,Texas,ALL,all sectors,342724.213,million kilowatt hours
2006,US,U.S. Total,ALL,all sectors,3669918.84,million kilowatt hours
2006,UT,Utah,ALL,all sectors,26365.716,million kilowatt hours
2006,VA,Virginia,ALL,all sectors,106721.241,million kilowatt hours
2006,VT,Vermont,ALL,all sectors,5795.029,million kilowatt hours
2006,WA,Washington,ALL,all sectors,85033.335,million kilowatt hours
2006,WI,Wisconsin,ALL,all sectors,69820.749,million kilowatt hours
2006,WNC,West North Central,ALL,all sectors,280451.215,million kilowatt hours
2006,WSC,West South Central,ALL,all sectors,521732.899,million kilowatt hours
2006,WV,West Virginia,ALL,all sectors,32312.126,million kilowatt hours
2006,WY,Wyoming,ALL,all sectors,14946.612,million kilowatt hours
2007,AK,Alaska,ALL,all sectors,6326.61,million kilowatt hours
2007,AL,Alabama,ALL,all sectors,91828.464,million kilowatt hours
2007,AR,Arkansas,ALL,all sectors,47054.891,million kilowatt hours
2007,AZ,Arizona,ALL,all sectors,77193.206,million kilowatt hours
2007,CA,California,ALL,all sectors,264234.911,million kilowatt hours
2007,CO,Colorado,ALL,all sectors,51299.156,million kilowatt hours
2007,CT,Connecticut,ALL,all sectors,34129.107,million kilowatt hours
2007,DC,District of Columbia,ALL,all sectors,12110.185,million kilowatt hours
2007,DE,Delaware,ALL,all sectors,11868.81,million kilowatt hours
